section,runtime_id,ar,en,ur,tr,ug
flat,brand,التحليل اللغوي المجهري,Microscopic Linguistic Analysis,خوردبینی لسانی تجزیہ,Mikroskobik Dilbilimsel Analiz,مىكروسكوپىيىلىك تىلشۇناسلىق تەھلىلى
flat,brandSub,مختبر تحليل السور والآيات — نسخة 1.1.0,A lab for analyzing surahs and ayat,سورتوں اور آیات کے تجزیے کی تجربہ گاہ,Sure ve ayet analiz laboratuvarı,سۈرە ۋە ئايەتلەرنى تەھلىل قىلىش لابوراتورىيىسى
flat,audioSettingsBtn,إعدادات التلاوة,Recitation settings,تلاوت کی ترتیبات,Tilavet ayarları,تىلاۋەت تەڭشىكى
flat,reciterLabel,القارئ,Reciter,قاری,Kâri,قارى
flat,audioHint,يعمل تلقائيًا مع أي ورقة سورة أو آية كاملة.,Works automatically with any complete surah or ayah worksheet.,یہ خودکار طور پر کسی بھی مکمل سورت یا آیت والے ورک شیٹ کے ساتھ کام کرتا ہے۔,Tam bir sure veya ayet çalışma sayfasıyla otomatik olarak çalışır.,تولۇق سۈرە ياكى ئايەت ۋاراقچىسى بىلەن ئاپتوماتىك ئىشلەيدۇ.
flat,heroTitleMain,التحليل اللغوي,Microscopic,خوردبینی,Mikroskobik,مىكروسكوپىيىلىك
flat,heroTitleMag,المجهري,Linguistic Analysis,لسانی تجزیہ,Dilbilimsel Analiz,تىلشۇناسلىق تەھلىلى
flat,heroSub,ضع آيات القرآن الكريم تحت المجهر — اضغط أي بطاقة لفتح ورقة العمل، واكتب إجاباتك: الأسئلة القابلة للتصحيح تُصحَّح تلقائيًا (✓ صحيح / ✗ حاول مجددًا)، ويمكن طباعة أي ورقة كما هي.,"Put the verses of the Holy Quran under the microscope — tap any card to open its worksheet and write your answers: gradable questions are checked automatically (✓ correct / ✗ try again), and any worksheet can be printed as-is.",قرآن کریم کی آیات کو خوردبین کے نیچے رکھیں — کوئی بھی کارڈ دبائیں تاکہ ورک شیٹ کھلے اور اپنے جوابات لکھیں: قابلِ تصحیح سوالات خودکار طور پر جانچے جاتے ہیں (✓ درست / ✗ دوبارہ کوشش کریں)، اور کسی بھی ورک شیٹ کو جوں کا توں پرنٹ کیا جا سکتا ہے۔,Kur'an-ı Kerim ayetlerini mikroskop altına alın — çalışma sayfasını açmak için herhangi bir karta dokunun ve cevaplarınızı yazın: değerlendirilebilir sorular otomatik olarak kontrol edilir (✓ doğru / ✗ tekrar deneyin) ve herhangi bir çalışma sayfası olduğu gibi yazdırılabilir.,قۇرئان كەرىم ئايەتلىرىنى مىكروسكوپ ئاستىغا قويۇڭ — ۋاراقچىنى ئېچىش ئۈچۈن ھەر قانداق كارتىنى بېسىڭ ۋە جاۋابلىرىڭىزنى يېزىڭ: باھالىغىلى بولىدىغان سوئاللار ئاپتوماتىك تەكشۈرۈلىدۇ (✓ توغرا / ✗ قايتا سىناڭ)، ھەر قانداق ۋاراقچىنى بولغىنىچە بېسىپ چىقارغىلى بولىدۇ.
flat,fAll,الكل,All,سب,Tümü,ھەممىسى
flat,fSurah,السور الكاملة,Full surahs,مکمل سورتیں,Tam sureler,تولۇق سۈرىلەر
flat,fAyah,الآيات المختارة,Selected ayat,منتخب آیات,Seçili ayetler,تاللانغان ئايەتلەر
flat,fStory,القصص,Stories,قصے,Kıssalar,قىسسىلەر
flat,lvlAll,كل المستويات,All levels,تمام درجات,Tüm seviyeler,بارلىق دەرىجىلەر
flat,lvl1,بسيط,Basic,بنیادی,Temel,ئاساسىي
flat,lvl2,سهل,Easy,آسان,Kolay,ئاسان
flat,lvl3,متوسط,Medium,درمیانہ,Orta,ئوتتۇرا
flat,lvl4,صعب,Hard,مشکل,Zor,قىيىن
flat,lvl5,صعب جدًا,Very hard,بہت مشکل,Çok zor,بەك قىيىن
flat,searchPh,ابحث عن سورة أو آية...,Search for a surah or ayah...,کسی سورت یا آیت کو تلاش کریں...,Bir sure veya ayet arayın...,سۈرە ياكى ئايەت ئىزدەڭ...
flat,tagSurah,سورة كاملة,Full surah,مکمل سورت,Tam sure,تولۇق سۈرە
flat,tagAyah,آية مختارة,Selected ayah,منتخب آیت,Seçili ayet,تاللانغان ئايەت
